speaker,sex,age,res,edu,file,speech_rate,word,phone,previous,following,phone_start,phone_end,method,phone_start_suyuan,phone_start_sijia,diff,simple_phone,phone_category
ma_4426,m,31,Nanjing,18,Nanjing_ma_4426,5.817313794495134,然后,n,a2,h,56.031197851625706,56.067689280728565,Human-Human,56.031197851625706,56.01826275371897,0.012935097906733972,n,nasal
ma_4426,m,31,Nanjing,18,Nanjing_ma_4426,5.817313794495134,然后,h,n,ou4,56.067689280728565,56.12128606722339,Human-Human,56.067689280728565,56.061141395285894,0.006547885442671486,h,fricative
ma_4426,m,31,Nanjing,18,Nanjing_ma_4426,5.817313794495134,然后,ou4,h,x,56.12128606722339,56.32305802639029,Human-Human,56.12128606722339,56.13421856706958,0.012932499846193934,ou,vowel
ma_4426,m,31,Nanjing,18,Nanjing_ma_4426,5.817313794495134,现在,x,ou4,ia4,56.32305802639029,56.398863068535825,Human-Human,56.32305802639029,56.31601394091606,0.007044085474234407,x,fricative
ma_4426,m,31,Nanjing,18,Nanjing_ma_4426,5.817313794495134,现在,ia4,x,n,56.398863068535825,56.409126282971,Human-Human,56.398863068535825,56.40768272412789,0.008819655592063214,ia,vowel
ma_4426,m,31,Nanjing,18,Nanjing_ma_4426,5.817313794495134,现在,n,ia4,z,56.409126282971,56.496933784249755,Human-Human,56.409126282971,56.43776780289544,0.02864151992444164,n,nasal
ma_4426,m,31,Nanjing,18,Nanjing_ma_4426,5.817313794495134,现在,z,n,ai4,56.496933784249755,56.50377592720654,Human-Human,56.496933784249755,56.49025666372394,0.006677120525814928,z,fricative
ma_4426,m,31,Nanjing,18,Nanjing_ma_4426,5.817313794495134,现在,ai4,z,m,56.50377592720654,56.69949017858054,Human-Human,56.50377592720654,56.50975055896125,0.005974631754710913,ai,vowel
ma_4426,m,31,Nanjing,18,Nanjing_ma_4426,5.817313794495134,美国,m,ai4,ei3,56.69949017858054,56.84773053950995,Human-Human,56.69949017858054,56.67625231724574,0.023237861334798993,m,nasal
ma_4426,m,31,Nanjing,18,Nanjing_ma_4426,5.817313794495134,美国,ei3,m,g,56.84773053950995,56.93667839794818,Human-Human,56.84773053950995,56.851343847173055,0.0036133076631017502,ei,vowel
ma_4426,m,31,Nanjing,18,Nanjing_ma_4426,5.817313794495134,美国,g,ei3,uo2,56.93667839794818,56.983433041486215,Human-Human,56.93667839794818,56.93661172123193,6.667671625137928e-5,g,stop
ma_4426,m,31,Nanjing,18,Nanjing_ma_4426,5.817313794495134,美国,uo2,g,d,56.983433041486215,57.07967094841012,Human-Human,56.983433041486215,56.98388162177268,4.485802864664379e-4,uo,vowel
ma_4426,m,31,Nanjing,18,Nanjing_ma_4426,5.817313794495134,对,d,uo2,uei4,57.07967094841012,57.14073118018874,Human-Human,57.07967094841012,57.07669499992424,0.00297594848587579,d,stop
ma_4426,m,31,Nanjing,18,Nanjing_ma_4426,5.817313794495134,对,uei4,d,i2,57.14073118018874,57.24988678222804,Human-Human,57.14073118018874,57.12927285951655,0.011458320672190325,uei,vowel
ma_4426,m,31,Nanjing,18,Nanjing_ma_4426,5.817313794495134,移民,i2,uei4,m,57.24988678222804,57.342489734233936,Human-Human,57.24988678222804,57.247929716075674,0.0019570661523644617,i,vowel
