speaker,sex,age,res,edu,file,speech_rate,word,phone,previous,following,phone_start,phone_end
ma_4336,F,25,Canto,14,Canto_ma_4336,5.936037739949313,钱,n,ia2,<SIL>,5.740464350920507,5.874332187334348
ma_4336,F,25,Canto,14,Canto_ma_4336,4.619987442150039,那么,m,a4,e5,12.494733927428193,12.535524048696708
ma_4336,F,25,Canto,14,Canto_ma_4336,5.936037739949313,他们,a1,t,m,4.209508220416832,4.279899159707238
ma_4336,F,25,Canto,14,Canto_ma_4336,6.135591012491206,这个,g,ei4,e4,46.09471204428644,46.10203135222702
ma_4336,F,25,Canto,14,Canto_ma_4336,5.936037739949313,那,a4,n,g,3.9096171074738506,4.044082944891379
ma_4336,F,25,Canto,14,Canto_ma_4336,7.082905895689728,要,iao4,iou3,zh,44.10921351239257,44.29030691243676
ma_4336,F,25,Canto,14,Canto_ma_4336,6.135591012491206,的,d,n,e5,47.40234137835215,47.41542069780016
ma_4336,F,25,Canto,14,Canto_ma_4336,6.472691739133782,你,n,ng,i3,24.298469635858833,24.32145344048683
ma_4336,F,25,Canto,14,Canto_ma_4336,6.110768350198114,办法,f,n,a3,30.0212860397759,30.107108954600257
ma_4336,F,25,Canto,14,Canto_ma_4336,5.275543428890118,他,a1,t,d,17.502474860213745,17.597313736395282
ma_4336,F,25,Canto,14,Canto_ma_4336,6.110768350198114,回去,v4,q,m,29.578056604485035,29.64917591024665
ma_4336,F,25,Canto,14,Canto_ma_4336,6.135591012491206,这个,e4,g,l,46.10203135222702,46.13103330301274
ma_4336,F,25,Canto,14,Canto_ma_4336,6.110768350198114,就,j,ai2,iu4,31.140688731880015,31.240579204178413
ma_4336,F,25,Canto,14,Canto_ma_4336,5.275543428890118,忙,m,e,a,17.679871606263948,17.75291122491427
ma_4336,F,25,Canto,14,Canto_ma_4336,7.082905895689728,乡下,ia4,x,d,43.35705504705421,43.46081097538467
ma_4336,F,25,Canto,14,Canto_ma_4336,6.110768350198114,后来,ai2,l,j,31.073017013526822,31.140688731880015
ma_4336,F,25,Canto,14,Canto_ma_4336,6.135591012491206,李,i3,l,j,46.18389613200494,46.33773453287812
ma_4336,F,25,Canto,14,Canto_ma_4336,5.859734590612213,单,n,a1,j,10.23544380962423,10.318140052458446
ma_4336,F,25,Canto,14,Canto_ma_4336,5.275543428890118,帮,ng,a1,t,17.414869705971128,17.47426228159746
ma_4336,F,25,Canto,14,Canto_ma_4336,5.275543428890118,他,t,ng,a1,17.47426228159746,17.502474860213745
ma_4336,F,25,Canto,14,Canto_ma_4336,6.110768350198114,后来,ou4,h,l,30.987962640145575,31.045954258360062
ma_4336,F,25,Canto,14,Canto_ma_4336,5.275543428890118,就,iu4,j,iao4,15.240084212557655,15.272429494141443
ma_4336,F,25,Canto,14,Canto_ma_4336,5.275543428890118,天,n,ia1,ua3,14.70195994165999,14.751837745492303
ma_4336,F,25,Canto,14,Canto_ma_4336,5.275543428890118,去,q,v4,v4,16.986790780361225,17.196631895760888
ma_4336,F,25,Canto,14,Canto_ma_4336,6.110768350198114,他,a1,t,uo3,29.031890419024375,29.10026092006278
