speaker,sex,age,res,edu,file,speech_rate,word,phone,previous,following,phone_start,phone_end
ma_4336,F,25,Canto,14,Canto_ma_4336,7.177837966664349,老公,ng,o1,m,43.84963907431784,43.925679083515256
ma_4336,F,25,Canto,14,Canto_ma_4336,6.564288983690956,总台,z,e4,o3,23.725309231560605,23.80166097882245
ma_4336,F,25,Canto,14,Canto_ma_4336,5.427809267966177,搞不清,i1,q,ng,8.619404630077044,8.664652394016894
ma_4336,F,25,Canto,14,Canto_ma_4336,6.183541258460259,回去,h,iao4,uei2,29.408324556369077,29.469448849501546
ma_4336,F,25,Canto,14,Canto_ma_4336,6.179052601898325,老公,o1,g,ng,49.56897805512022,49.622641778485594
ma_4336,F,25,Canto,14,Canto_ma_4336,5.946638717651713,我,uo3,uo1,b,18.891399391951868,19.004324357456355
ma_4336,F,25,Canto,14,Canto_ma_4336,6.179052601898325,这个,g,ei4,e4,47.12570118199429,47.140490075318375
ma_4336,F,25,Canto,14,Canto_ma_4336,5.592533288367158,就,j,iu4,iu4,15.158072195830393,15.251430393147482
ma_4336,F,25,Canto,14,Canto_ma_4336,4.142088244320759,我们,m,uo3,e5,27.113998740996315,27.12817378784169
ma_4336,F,25,Canto,14,Canto_ma_4336,5.946638717651713,吗,a5,m,<SIL>,22.02844402162275,22.162797348162613
ma_4336,F,25,Canto,14,Canto_ma_4336,5.958184195126839,找到,ao3,zh,d,4.46835394993301,4.551985352673812
ma_4336,F,25,Canto,14,Canto_ma_4336,4.709312008482817,要,iao4,e5,h,57.84568760928225,58.006571202642036
ma_4336,F,25,Canto,14,Canto_ma_4336,6.179052601898325,那,n,ng,a4,48.76394066379201,48.80375737115603
ma_4336,F,25,Canto,14,Canto_ma_4336,6.564288983690956,有,iou3,a3,i1,23.390682914688934,23.526049633331148
ma_4336,F,25,Canto,14,Canto_ma_4336,5.946638717651713,吗,a5,m,n,21.063141284817895,21.138086244033474
ma_4336,F,25,Canto,14,Canto_ma_4336,5.592533288367158,晚上,a4,sh,ng,14.930522046940162,14.992329264678583
ma_4336,F,25,Canto,14,Canto_ma_4336,6.179052601898325,不,u4,b,d,48.48607894090574,48.57696762699756
ma_4336,F,25,Canto,14,Canto_ma_4336,2.234710031332863,嗯,n,e1,<SIL>,60.37407015863597,60.53202556571695
ma_4336,F,25,Canto,14,Canto_ma_4336,6.0507664206963785,那,a4,n,uo3,35.67896100071555,35.72211591858759
ma_4336,F,25,Canto,14,Canto_ma_4336,6.179052601898325,男的,e5,d,b,47.413946301606735,47.48002934042607
ma_4336,F,25,Canto,14,Canto_ma_4336,5.427809267966177,交给,iao1,j,g,10.826509172365325,10.991502107759914
ma_4336,F,25,Canto,14,Canto_ma_4336,5.958184195126839,那天,n,uei4,ei4,3.419809633633484,3.492925744941374
ma_4336,F,25,Canto,14,Canto_ma_4336,6.0507664206963785,就,iu4,j,zh,35.87562864049422,35.93785406175205
ma_4336,F,25,Canto,14,Canto_ma_4336,5.958184195126839,他们,m,a1,e5,4.282657322570654,4.31256732134738
